ticker,date,sentiment,news_count
AAPL,2021-06-01,0.7427,18
AAPL,2021-06-02,0.5939,38
AAPL,2021-06-03,0.712,15
AAPL,2021-06-04,0.5248,37
AAPL,2021-06-05,0.8478,4
AAPL,2021-06-06,0.3864,7
AAPL,2021-06-07,0.6472,69
AAPL,2021-06-08,0.6162,38
AAPL,2021-06-09,0.8141,27
AAPL,2021-06-10,0.4177,25
AAPL,2021-06-11,0.5858,33
AAPL,2021-06-12,0.8785,6
AAPL,2021-06-13,0.3254,9
AAPL,2021-06-14,0.537,33
AAPL,2021-06-15,0.6738,37
AAPL,2021-06-16,0.7925,36
AAPL,2021-06-17,0.688,20
AAPL,2021-06-18,0.7929,29
AAPL,2021-06-19,0.542,2
AAPL,2021-06-20,0.1297,6
AAPL,2021-06-21,0.5892,41
AAPL,2021-06-22,0.7423,39
AAPL,2021-06-23,0.5813,33
AAPL,2021-06-24,0.6887,44
AAPL,2021-06-25,0.5765,17
AAPL,2021-06-26,0.7451,9
AAPL,2021-06-27,0.7023,6
AAPL,2021-06-28,0.7956,25
AAPL,2021-06-29,0.298,36
AAPL,2021-06-30,0.5415,35
AAPL,2021-07-01,0.7491,31
AAPL,2021-07-02,0.6377,20
AAPL,2021-07-03,0.7203,4
AAPL,2021-07-04,0.608,2
AAPL,2021-07-05,0.4768,8
AAPL,2021-07-06,0.3182,24
AAPL,2021-07-07,0.5122,32
AAPL,2021-07-08,0.0826,20
AAPL,2021-07-09,0.4568,25
AAPL,2021-07-10,0.4291,7
AAPL,2021-07-11,0.7237,3
AAPL,2021-07-12,0.6223,21
AAPL,2021-07-13,0.4123,28
AAPL,2021-07-14,0.5476,58
AAPL,2021-07-15,0.6514,30
AAPL,2021-07-16,0.6483,29
AAPL,2021-07-17,0.6978,4
AAPL,2021-07-18,0.3463,3
AAPL,2021-07-19,0.6279,14
AAPL,2021-07-20,0.4317,35
AAPL,2021-07-21,0.506,22
AAPL,2021-07-22,0.5711,29
AAPL,2021-07-23,0.6366,25
AAPL,2021-07-24,0.6478,4
AAPL,2021-07-25,0.7657,7
AAPL,2021-07-26,0.516,38
AAPL,2021-07-27,0.4672,56
AAPL,2021-07-28,0.4673,85
AAPL,2021-07-29,0.5325,30
AAPL,2021-07-30,0.3861,29
AAPL,2021-07-31,0.7488,8
AAPL,2021-08-01,0.5294,5
AAPL,2021-08-02,0.6372,19
AAPL,2021-08-03,0.6725,22
AAPL,2021-08-04,0.3934,14
AAPL,2021-08-05,0.2241,26
AAPL,2021-08-06,0.4019,34
AAPL,2021-08-07,0.5139,11
AAPL,2021-08-08,0.5903,3
AAPL,2021-08-09,0.4142,11
AAPL,2021-08-10,0.6415,21
AAPL,2021-08-11,0.619,22
AAPL,2021-08-12,0.3451,21
AAPL,2021-08-13,0.4034,25
AAPL,2021-08-14,0.3595,10
AAPL,2021-08-15,0.4068,4
AAPL,2021-08-16,0.4127,20
AAPL,2021-08-17,0.6828,22
AAPL,2021-08-18,0.1644,17
AAPL,2021-08-19,0.2543,26
AAPL,2021-08-20,0.4162,26
AAPL,2021-08-21,0.764,5
AAPL,2021-08-22,0.7825,2
AAPL,2021-08-23,0.4427,15
AAPL,2021-08-24,0.6243,20
AAPL,2021-08-25,0.5639,26
AAPL,2021-08-26,0.7426,13
AAPL,2021-08-27,0.5036,31
AAPL,2021-08-28,-0.0205,4
AAPL,2021-08-29,0.989,1
AAPL,2021-08-30,0.5661,35
AAPL,2021-08-31,0.5194,37
AAPL,2021-09-01,0.5075,31
AAPL,2021-09-02,0.5206,42
AAPL,2021-09-03,0.1345,17
AAPL,2021-09-04,0.0983,3
AAPL,2021-09-05,0.72,2
AAPL,2021-09-06,0.995,3
AAPL,2021-09-07,0.5835,38
AAPL,2021-09-08,0.287,31
AAPL,2021-09-09,0.7899,23
AAPL,2021-09-10,0.4594,69
AAPL,2021-09-11,0.4943,8
AAPL,2021-09-12,0.1244,14
AAPL,2021-09-13,0.1527,50
AAPL,2021-09-14,0.3412,107
AAPL,2021-09-15,0.3585,46
AAPL,2021-09-16,0.3923,26
AAPL,2021-09-17,0.4322,29
AAPL,2021-09-18,-0.1114,5
AAPL,2021-09-19,0.7008,5
AAPL,2021-09-20,0.304,36
AAPL,2021-09-21,0.4901,27
AAPL,2021-09-22,0.2037,32
AAPL,2021-09-23,0.2778,40
AAPL,2021-09-24,0.6919,10
AAPL,2021-09-25,0.9905,6
AAPL,2021-09-26,0.4688,4
AAPL,2021-09-27,0.6027,20
AAPL,2021-09-28,0.4648,25
AAPL,2021-09-29,0.1911,21
AAPL,2021-09-30,0.4896,14
AAPL,2021-10-01,0.6627,19
AAPL,2021-10-02,0.424,6
AAPL,2021-10-03,0.5881,7
AAPL,2021-10-04,0.5131,28
AAPL,2021-10-05,0.3868,33
AAPL,2021-10-06,0.3511,17
AAPL,2021-10-07,0.4754,19
AAPL,2021-10-08,0.4641,20
AAPL,2021-10-09,0.1824,5
AAPL,2021-10-10,0.3695,2
AAPL,2021-10-11,0.5981,16
AAPL,2021-10-12,0.17,33
AAPL,2021-10-13,0.0448,52
AAPL,2021-10-14,0.6154,31
AAPL,2021-10-15,0.4234,28
AAPL,2021-10-17,0.4466,5
AAPL,2021-10-18,0.561,55
AAPL,2021-10-19,0.3895,41
AAPL,2021-10-20,0.648,16
AAPL,2021-10-21,0.3886,34
AAPL,2021-10-22,0.3373,48
AAPL,2021-10-23,0.6725,8
AAPL,2021-10-24,0.4852,13
AAPL,2021-10-25,0.6258,37
AAPL,2021-10-26,0.6298,41
AAPL,2021-10-27,0.5659,36
AAPL,2021-10-28,0.5069,82
AAPL,2021-10-29,0.2862,119
AAPL,2021-10-30,0.4551,8
AAPL,2021-10-31,0.4878,8
AAPL,2021-11-01,0.4713,28
AAPL,2021-11-02,0.5928,31
AAPL,2021-11-03,0.6994,21
AAPL,2021-11-04,0.547,29
AAPL,2021-11-05,0.4986,18
AAPL,2021-11-06,0.4944,8
AAPL,2021-11-07,0.515,4
AAPL,2021-11-08,0.7765,14
AAPL,2021-11-09,0.5265,19
AAPL,2021-11-10,0.2559,27
AAPL,2021-11-11,0.7629,17
AAPL,2021-11-12,0.3586,27
AAPL,2021-11-13,0.0822,6
AAPL,2021-11-14,0.6132,5
AAPL,2021-11-15,0.8195,13
AAPL,2021-11-16,0.5551,29
AAPL,2021-11-17,0.3579,30
AAPL,2021-11-18,0.4763,32
AAPL,2021-11-19,0.4578,44
AAPL,2021-11-20,0.8856,5
AAPL,2021-11-21,0.7166,5
AAPL,2021-11-22,0.6642,23
AAPL,2021-11-23,0.4503,25
AAPL,2021-11-24,-0.0188,20
AAPL,2021-11-25,0.9812,6
AAPL,2021-11-26,0.4069,21
AAPL,2021-11-27,0.8933,4
AAPL,2021-11-28,0.7088,4
AAPL,2021-11-29,0.5979,18
AAPL,2021-11-30,0.3896,25
