spillover_weighted_sent,net_transmitter,system_connectedness,spillover_neg_asym,ticker,earnings_date,ret_obs,sent_obs,var_lag_ret,var_lag_sent
0.5540691551040742,-0.12640937648734007,0.4980171529752638,0.0360551962978045,TSLA,2022-10-19,98,126,ok,ok
0.5013870633449079,0.06115343584083632,0.5085711663446374,0.058284712268497824,GOOGL,2022-10-25,97,132,ok,ok
0.44684540575317705,0.06147102183908271,0.5085711663446374,0.06383987719425596,MSFT,2022-10-25,97,132,ok,ok
0.46425954110000667,-0.07504920683093042,0.5075880773405429,0.0639470263898344,META,2022-10-26,98,133,ok,ok
0.4215443475863208,0.04064434641935999,0.5072749272876087,0.09095336864002102,AMZN,2022-10-27,99,134,ok,ok
0.43719423063227675,0.020180629611636136,0.5072749272876087,0.08172968965504492,AAPL,2022-10-27,99,134,ok,ok
0.40201568856638525,0.003380959681807516,0.47021446300531006,0.06853303918362136,NVDA,2022-11-16,99,143,ok,ok
0.43226905068283755,0.05745049578118433,0.41861050049512183,0.06667505036943133,MSFT,2023-01-24,96,143,ok,ok
0.46446228243037224,-0.12150145017274916,0.41991390307956816,0.04153746648179707,TSLA,2023-01-25,97,143,ok,ok
0.4384409697928541,-0.0998679705715847,0.42450756190402206,0.0591123248589389,META,2023-02-01,97,143,ok,ok
0.4554089642879719,0.05513124064573516,0.4195026121205433,0.0714988726158512,GOOGL,2023-02-02,98,143,ok,ok
0.43206603724317827,0.02266929649717575,0.4195026121205433,0.07149922640725907,AMZN,2023-02-02,98,143,ok,ok
0.4546216664732058,0.0316582010714338,0.4195026121205433,0.0604787920625077,AAPL,2023-02-02,98,143,ok,ok
0.4540900073610679,0.03757427462683394,0.42059171225409436,0.04220219060068933,NVDA,2023-02-22,98,143,ok,ok
0.6193370463246346,-0.07088044915599978,0.4226433910057737,0.00835936165126824,TSLA,2023-04-19,96,143,ok,ok
0.540084112372388,0.038830248632541475,0.4205240550607644,0.02989038209571161,GOOGL,2023-04-25,96,143,ok,ok
0.49936498165509274,0.08522459540478922,0.4205240550607644,0.04148324106125057,MSFT,2023-04-25,96,143,ok,ok
0.4954416288629794,-0.0543300221373928,0.4185871396642144,0.0326663778619997,META,2023-04-26,97,143,ok,ok
0.5210981866630785,0.035582385629487456,0.41788357070158433,0.031563209769866006,AMZN,2023-04-27,98,143,ok,ok
0.5042938898308452,-0.004109287641754222,0.40789173163815284,0.037675492798576404,AAPL,2023-05-04,98,143,ok,ok
0.5812650874461028,-0.07120679933150242,0.3880018802366521,0.011744468624190745,NVDA,2023-05-24,97,143,ok,ok
0.6378799082469105,0.002255814020174718,0.3887484213259598,0.004720242434847694,TSLA,2023-07-19,97,143,ok,ok
0.5618499026143629,0.011356013239856022,0.38399486427402596,0.03227033435111038,GOOGL,2023-07-25,97,143,ok,ok
0.5662832157079278,0.08743934345857196,0.38399486427402596,0.027229083874475035,MSFT,2023-07-25,97,143,ok,ok
0.5228013984275972,-0.04160793448927491,0.38113665648017975,0.02482205366447257,META,2023-07-26,98,143,ok,ok
0.6575961768205212,-0.016113080491848675,0.3887232694154711,0.0,AMZN,2023-08-03,99,143,ok,ok
0.6554074675077802,-0.02143138089846519,0.3887232694154711,0.0,AAPL,2023-08-03,99,143,ok,ok
0.662328699172544,-0.005338292382490617,0.34802308618066785,0.011696115300149133,NVDA,2023-08-23,98,143,ok,ok
0.590689356963759,0.03220546853011941,0.4111742406013374,0.01613570095791591,TSLA,2023-10-18,98,143,ok,ok
0.5955386309750498,0.048433800608487676,0.4038357906713309,0.010939479038688667,MSFT,2023-10-24,97,143,ok,ok
