date,ticker,open,high,low,close,volume
2021-06-01,AAPL,122.03431485733806,122.29773710604329,120.92207435192587,121.25379180908203,67637100
2021-06-02,AAPL,121.25376479927095,122.19038778236961,121.02936949732552,122.0147705078125,59278900
2021-06-03,AAPL,121.6440550967321,121.8099138277147,120.1317944601695,120.53181457519531,76229200
2021-06-04,AAPL,121.04889463757115,123.08800699874061,120.83425044759345,122.82457733154297,75169300
2021-06-07,AAPL,123.09776519522116,123.2441141916509,121.79039769931899,122.83434295654297,71057600
2021-06-08,AAPL,123.51727161368726,125.331988404536,123.13676876123085,123.65386199951172,74403800
2021-06-09,AAPL,124.11242420165917,124.63927604647924,123.43922338156383,124.03437042236328,56877900
2021-06-10,AAPL,123.9270603510902,125.06857651400928,122.87336400291547,123.03922271728516,71186400
2021-06-11,AAPL,123.44896801100933,124.33681290200306,123.02943829923748,124.2490005493164,53522400
2021-06-14,AAPL,124.70756306020407,127.36132438958391,123.97582567545629,127.30278778076172,96906500
2021-06-15,AAPL,126.775974370004,127.41990699875254,126.23936384604688,126.4832763671875,62746300
2021-06-16,AAPL,127.19549442536886,127.70283662845416,125.33201411236685,126.98085021972656,91815000
2021-06-17,AAPL,126.63936820067508,129.32240559947226,126.49301177385304,128.58090209960938,96721700
2021-06-18,AAPL,127.52719186886974,128.3076997988403,127.06863527203306,127.28327941894531,108953300
2021-06-21,AAPL,127.1271913132279,129.18581330080102,126.063736441913,129.0784912109375,79663300
2021-06-22,AAPL,128.91264666080772,130.8151612925248,128.41505560442437,130.71759033203125,74783600
2021-06-23,AAPL,130.51269961588608,131.04931007255976,129.98584029942936,130.44439697265625,60214200
2021-06-24,AAPL,131.1761533209972,131.36152922245495,129.69316099657445,130.16148376464844,68711000
2021-06-25,AAPL,130.21025787505408,130.6297802366699,129.5760764313894,129.8687744140625,70783700
2021-06-28,AAPL,130.1614117379613,131.95660336046586,130.10287514615388,131.498046875,62111300
2021-06-29,AAPL,131.51760238370522,133.16645300747723,131.0785629298999,133.01034545898438,64556100
2021-06-30,AAPL,132.85422833936676,134.06403942217588,132.56153042883813,133.625,63261400
2021-07-01,AAPL,133.27379128495963,133.98601159157678,132.4542339993765,133.92747497558594,52485800
2021-07-02,AAPL,134.5421050302235,136.59097561940857,134.3957635112395,136.5519561767578,78852600
2021-07-06,AAPL,136.65928383502748,139.66427232062847,136.65928383502748,138.56179809570312,108181800
2021-07-07,AAPL,140.04478004189397,141.36191336128311,139.1862182535438,141.04971313476562,104911600
2021-07-08,AAPL,138.13253828734636,140.55214628534262,137.24469315334258,139.7521209716797,105575500
2021-07-09,AAPL,139.27403406481795,142.10341304013653,139.17646311232951,141.57656860351562,99890800
2021-07-12,AAPL,142.64981360326175,142.75713571421414,140.49362024221452,140.9814453125,76299700
2021-07-13,AAPL,140.52284633857775,143.8693330567253,140.13259235448814,142.09364318847656,100827100
2021-07-14,AAPL,144.49375275658443,145.92795926693185,144.08396670742601,145.51817321777344,127050800
2021-07-15,AAPL,145.6060054508676,146.34749406137325,143.50834910364574,144.864501953125,106820300
2021-07-16,AAPL,144.8449961921481,146.1133292004128,142.32781756831105,142.8253936767578,93251400
2021-07-19,AAPL,140.24968646910114,140.56190161268026,138.2203326975493,138.98133850097656,121434600
2021-07-20,AAPL,139.9667464752501,143.5181116494979,139.47892150687957,142.5912322998047,96350000
2021-07-21,AAPL,141.98635160042446,142.57174758950413,141.10827250404336,141.85951232910156,74993500
2021-07-22,AAPL,142.38634335455993,144.59130668501456,142.25950410848452,143.22540283203125,77338200
2021-07-23,AAPL,143.9571344380385,145.09864294509043,143.3424702853048,144.94253540039062,71447400
2021-07-26,AAPL,144.65960672609336,146.1816181027515,144.10347916841854,145.36207580566406,72434100
2021-07-27,AAPL,145.48893575716545,145.57675557902394,142.00587269876928,143.1961669921875,104818600
2021-07-28,AAPL,141.28387882976534,143.391286472983,139.06914908747908,141.44973754882812,118931200
2021-07-29,AAPL,141.16677881083731,142.98148812260095,141.0594567321274,142.09364318847656,56699500
2021-07-30,AAPL,140.86434605990442,142.76686050541852,140.60091640214495,142.3083038330078,70440600
2021-08-02,AAPL,142.7961201026742,143.37174997131473,141.71314811709883,141.97657775878906,62880000
2021-08-03,AAPL,142.25954411950144,144.43523975697417,141.64487976916462,143.7718048095703,64786600
2021-08-04,AAPL,143.6839649919127,144.191292221281,142.7180662311683,143.3717498779297,56368300
2021-08-05,AAPL,143.40102641721816,144.24008597517638,142.61075233452527,143.4790802001953,46397700
2021-08-06,AAPL,143.00035084231465,143.74295061398053,142.2968289914538,142.79515075683594,54126800
2021-08-09,AAPL,142.8536986819678,143.34225443321225,142.18927001685375,142.7462158203125,48908700
2021-08-10,AAPL,143.08821088010203,144.3291466635416,141.9743043631005,142.26744079589844,69023100
2021-08-11,AAPL,142.7071837820295,143.36184690994065,142.19908146277635,142.5215301513672,48493500
2021-08-12,AAPL,142.84400877640718,145.638549753649,142.5020136051408,145.48220825195312,72282600
2021-08-13,AAPL,145.56034862237908,146.01959236929383,144.87637333214747,145.6873779296875,59375000
2021-08-16,AAPL,145.1401675406519,147.72952253031957,143.1175540441941,147.66111755371094,103296000
2021-08-17,AAPL,146.7915040599331,148.20831321235303,145.67759718518755,146.75242614746094,92229700
2021-08-18,AAPL,146.37133747643588,147.2702784625577,142.8048707810112,143.01007080078125,86326000
2021-08-19,AAPL,141.71055564175415,144.61257954567083,141.19268746182053,143.3423309326172,86960300
2021-08-20,AAPL,144.06536865206095,145.10110479232438,143.4204712746936,144.79820251464844,60549600
2021-08-23,AAPL,144.91545125791524,146.7524262457425,144.50506608373868,146.28341674804688,60131800
2021-08-24,AAPL,146.02934262692168,147.40707372149436,145.73620613091066,146.19544982910156,48606400
2021-08-25,AAPL,146.3811034364789,146.87943995254733,144.41711425947602,144.96429443359375,58991300
2021-08-26,AAPL,144.95454377317253,145.70690913613237,144.13375851701343,144.16307067871094,48597200
2021-08-27,AAPL,144.10443150378484,145.34536755607812,143.4693148530707,145.1988067626953,55802400
2021-08-30,AAPL,145.5896753840009,149.97691325126357,145.20860233340446,149.61537170410156,90956700
2021-08-31,AAPL,149.16586282859998,149.30265785841414,147.82720977662575,148.3548583984375,86453100
2021-09-01,AAPL,149.33198527371385,151.43276949828842,148.8531951656688,149.01930236816406,80313700
2021-09-02,AAPL,150.34819027947748,151.17874128646721,148.91183471793337,150.1332244873047,71115500
